emote,description,names
👨,"entertainer, singer, medium-dark skin tone, actor, star, rock, man",man singer: medium-dark skin tone
👌,"dark skin tone, hand, ok",OK hand: dark skin tone
👌,"hand, ok, medium-dark skin tone",OK hand: medium-dark skin tone
👌,"hand, ok, medium skin tone",OK hand: medium skin tone
👌,"hand, ok, medium-light skin tone",OK hand: medium-light skin tone
👌,"light skin tone, hand, ok",OK hand: light skin tone
⛹,"medium-light skin tone, ball, man",man bouncing ball: medium-light skin tone
👮,"officer, medium-light skin tone, woman, police, cop",woman police officer: medium-light skin tone
🤹,"multitask, juggling, medium-dark skin tone, woman",woman juggling: medium-dark skin tone
👷,"dark skin tone, hat, worker, construction",construction worker: dark skin tone
👷,"hat, medium-dark skin tone, worker, construction",construction worker: medium-dark skin tone
👷,"hat, worker, medium skin tone, construction",construction worker: medium skin tone
👷,"hat, medium-light skin tone, worker, construction",construction worker: medium-light skin tone
👷,"light skin tone, hat, worker, construction",construction worker: light skin tone
🏋,"weight lifter, woman",woman lifting weights
⛹,"ball, man",man bouncing ball
🎟,"admission, ticket",admission tickets
🎞,"movie, film, cinema, frames",film frames
🎛,"knobs, music, control",control knobs
🎚,"slider, music, level",level slider
👩,"cook, light skin tone, chef, woman",woman cook: light skin tone
🎙,"mic, studio, microphone, music",studio microphone
💁,"light skin tone, sassy, woman, tipping hand",woman tipping hand: light skin tone
🚵,"bicycle, light skin tone, cyclist, bike, mountain, woman, biking",woman mountain biking: light skin tone
🎗,"reminder, celebration, ribbon",reminder ribbon
🎖,"medal, celebration, military",military medal
🎓,"hat, cap, celebration, graduation, clothing",graduation cap
🎒,"school, bag, satchel",school backpack
🎑,"moon, ceremony, celebration",moon viewing ceremony
🎐,"chime, wind, bell, celebration",wind chime
🎏,"carp, streamer, celebration",carp streamer
⭕,"circle, o",heavy large circle
🎎,"japanese, doll, celebration, festival",Japanese dolls
🎍,"pine, japanese, celebration, bamboo",pine decoration
🎌,"japanese, celebration, crossed, cross",crossed flags
🎋,"tree, japanese, banner, celebration",tanabata tree
🎊,"celebration, confetti, ball",confetti ball
⭐,star,white medium star
🎉,"popper, party, tada, celebration",party popper
🤾,"light skin tone, man, handball",man playing handball: light skin tone
🎈,celebration,balloon
🎇,"fireworks, celebration, sparkle",sparkler
🎆,celebration,fireworks
🎅,"claus, father, santa, celebration, christmas",Santa Claus
🎄,"tree, celebration, christmas",Christmas tree
🎃,"jack, halloween, lantern, celebration",jack-o-lantern
🎂,"pastry, sweet, dessert, celebration, birthday, cake",birthday cake
🎁,"wrapped, celebration, box, gift, present",wrapped gift
🎀,celebration,ribbon
👩,"judge, dark skin tone, woman, scales",woman judge: dark skin tone
🍿,popcorn,popcorn
🍾,"bottle, drink, cork, bar, popping",bottle with popping cork
🍽,"plate, cooking, knife, fork",fork and knife with plate
🍼,"bottle, drink, baby, milk",baby bottle
💆,"medium-dark skin tone, face, massage, man",man getting massage: medium-dark skin tone
🍻,"mug, drink, beer, clink, bar",clinking beer mugs
🍺,"mug, drink, beer, bar",beer mug
🙇,"favor, apology, medium-light skin tone, gesture, sorry, bowing, man",man bowing: medium-light skin tone
👩,"manager, business, office, woman, architect, white-collar",woman office worker
👩,"coder, developer, software, woman, technologist, inventor",woman technologist
🍹,"drink, tropical, bar",tropical drink
🍸,"drink, bar, glass, cocktail",cocktail glass
🍷,"wine, beverage, drink, bar, glass",wine glass
🍶,"cup, beverage, bottle, drink, bar",sake
🍵,"cup, beverage, teacup, tea, drink",teacup without handle
🍴,"cooking, knife, fork",fork and knife
🍳,"frying, egg, pan",cooking
🍲,"pot, stew",pot of food
🍱,"box, bento",bento box
🍰,"pastry, sweet, dessert, slice, cake",shortcake
🧀,cheese,cheese wedge
👍,"up, dark skin tone, thumb, hand, +1",thumbs up: dark skin tone
👍,"up, thumb, hand, +1, medium-dark skin tone",thumbs up: medium-dark skin tone
👍,"up, thumb, hand, +1, medium skin tone",thumbs up: medium skin tone
👍,"up, thumb, hand, +1, medium-light skin tone",thumbs up: medium-light skin tone
👍,"up, thumb, light skin tone, hand, +1",thumbs up: light skin tone
🍯,"honeypot, sweet, honey, pot",honey pot
🍮,"sweet, dessert, pudding",custard
🍭,"sweet, dessert, candy",lollipop
🍬,"sweet, dessert",candy
🍫,"sweet, dessert, bar, chocolate",chocolate bar
🍪,"sweet, dessert",cookie
🤹,"multitask, juggling, woman",woman juggling
👩,"dark skin tone, manager, business, office, woman, architect, white-collar",woman office worker: dark skin tone
🍩,"sweet, dessert, donut",doughnut
👩,"dark skin tone, coder, developer, software, woman, technologist, inventor",woman technologist: dark skin tone
🍨,"sweet, dessert, ice, cream",ice cream
🍧,"sweet, shaved, dessert, ice",shaved ice
🍦,"soft, sweet, dessert, ice, icecream, cream",soft ice cream
👸,"dark skin tone, fairy tale, fantasy",princess: dark skin tone
🍥,"pastry, fish, swirl, cake",fish cake with swirl
🤽,"water polo, man",man playing water polo
👸,"fairy tale, medium-dark skin tone, fantasy",princess: medium-dark skin tone
🍤,"tempura, prawn, fried, shrimp",fried shrimp
👸,"fairy tale, fantasy, medium skin tone",princess: medium skin tone
👩,"farmer, light skin tone, gardener, woman, rancher",woman farmer: light skin tone
🍣,sushi,sushi
👸,"fairy tale, medium-light skin tone, fantasy",princess: medium-light skin tone
🍢,"stick, skewer, seafood, kebab",oden
👸,"light skin tone, fairy tale, fantasy",princess: light skin tone
🍡,"stick, japanese, skewer, sweet, dessert",dango
🍠,"sweet, potato, roasted",roasted sweet potato
🍟,"french, fries",french fries
🍞,loaf,bread
🍝,pasta,spaghetti
🍜,"steaming, ramen, noodle, bowl",steaming bowl
🍛,"curry, rice",curry rice
🍚,"rice, cooked",cooked rice
🍙,"japanese, rice, ball",rice ball
🍘,"cracker, rice",rice cracker
🍗,"poultry, leg, bone, chicken",poultry leg
🕴,"dark skin tone, business, suit, man",man in business suit levitating: dark skin tone
🍖,"meat, bone",meat on bone
🕴,"business, medium-dark skin tone, suit, man",man in business suit levitating: medium-dark skin tone
🍕,"cheese, slice",pizza
🕴,"business, suit, medium skin tone, man",man in business suit levitating: medium skin tone
⬜,"square, geometric",white large square
🍔,burger,hamburger
🕴,"medium-light skin tone, business, suit, man",man in business suit levitating: medium-light skin tone
⬛,"square, geometric",black large square
🍓,"berry, fruit",strawberry
🕴,"light skin tone, business, suit, man",man in business suit levitating: light skin tone
🍒,"fruit, cherry",cherries
🍑,fruit,peach
🍐,fruit,pear
💇,"medium-dark skin tone, woman, haircut",woman getting haircut: medium-dark skin tone
🍏,"apple, fruit, green",green apple
🍎,"apple, fruit, red",red apple
🍍,fruit,pineapple
🍌,fruit,banana
🍋,"citrus, fruit",lemon
🍊,"orange, fruit",tangerine
🍉,fruit,watermelon
🍈,fruit,melon
🍇,"fruit, grape",grapes
🍆,"vegetable, aubergine",eggplant
🍅,"vegetable, fruit",tomato
🍄,toadstool,mushroom
🍃,"leaf, wind, blow, flutter",leaf fluttering in wind
🍂,"leaf, falling",fallen leaf
🍁,"leaf, falling, maple",maple leaf
🍀,"leaf, 4, four, clover",four leaf clover
👨,"dark skin tone, plane, pilot, man",man pilot: dark skin tone
⬇,"south, arrow, direction, down, cardinal",down arrow
⬆,"arrow, direction, north, cardinal",up arrow
🌿,leaf,herb
⬅,"west, arrow, direction, cardinal",left arrow
🌾,"rice, ear, grain",sheaf of rice
🌽,"corn, ear, maize, maze",ear of corn
🌼,flower,blossom
🌻,"flower, sun",sunflower
🌺,flower,hibiscus
👱,"medium-dark skin tone, blond, man",blond-haired man: medium-dark skin tone
👨,"graduate, student, medium-dark skin tone, man",man student: medium-dark skin tone
🌹,flower,rose
🌸,"blossom, flower, cherry",cherry blossom
🌷,flower,tulip
🌶,"pepper, hot",hot pepper
🌵,plant,cactus
🌴,"tree, palm",palm tree
🌳,"tree, shedding, deciduous",deciduous tree
🌲,tree,evergreen tree
🌱,young,seedling
🌰,plant,chestnut
🌯,"mexican, wrap",burrito
🌮,mexican,taco
🌭,"hotdog, frankfurter, sausage",hot dog
🌬,"wind, cloud, blow, face",wind face
🙋,"gesture, raising hand, man",man raising hand
🌫,cloud,fog
🏋,"weight lifter, medium-light skin tone, man",man lifting weights: medium-light skin tone
🌪,"whirlwind, cloud",tornado
🚵,"bicycle, cyclist, bike, mountain, woman, biking",woman mountain biking
👎,"dark skin tone, thumb, hand, -1, down",thumbs down: dark skin tone
🌩,"cloud, lightning",cloud with lightning
👎,"thumb, hand, medium-dark skin tone, -1, down",thumbs down: medium-dark skin tone
🌨,"cold, cloud, snow",cloud with snow
👎,"thumb, hand, -1, medium skin tone, down",thumbs down: medium skin tone
🌧,"cloud, rain",cloud with rain
👎,"thumb, hand, medium-light skin tone, -1, down",thumbs down: medium-light skin tone
🌦,"cloud, sun, rain",sun behind rain cloud
👎,"thumb, light skin tone, hand, -1, down",thumbs down: light skin tone
🌥,"cloud, sun",sun behind large cloud
🌤,"cloud, sun",sun behind small cloud
👮,"officer, medium-light skin tone, police, man, cop",man police officer: medium-light skin tone
🌡,weather,thermometer
🌠,"shooting, falling, star",shooting star
🤹,"multitask, juggling, medium-dark skin tone, man",man juggling: medium-dark skin tone
🌟,"glittery, star, shining, sparkle, glow",glowing star
🌞,"sun, face, bright",sun with face
🌝,"moon, full, face, bright",full moon with face
🌜,"moon, quarter, face",last quarter moon with face
🌛,"moon, quarter, face",first quarter moon with face
🌚,"moon, face",new moon face
🤷,"medium-light skin tone, indifference, shrug, ignorance, man, doubt",man shrugging: medium-light skin tone
👨,"cook, chef, medium-dark skin tone, man",man cook: medium-dark skin tone
🌙,"moon, crescent",crescent moon
🌘,"moon, crescent, waning",waning crescent moon
🌗,"moon, quarter",last quarter moon
🏋,"weight lifter, man",man lifting weights
🌖,"moon, gibbous, waning",waning gibbous moon
🙎,"pouting, gesture, woman, medium skin tone",woman pouting: medium skin tone
🌕,"moon, full",full moon
🌔,"moon, gibbous, waxing",waxing gibbous moon
🌓,"moon, quarter",first quarter moon
🌒,"moon, crescent, waxing",waxing crescent moon
🌑,"moon, dark",new moon
🌐,"world, meridians, earth, globe",globe with meridians
🌏,"world, earth, australia, globe, asia",globe showing Asia-Australia
🕵,"dark skin tone, sleuth, spy, detective",detective: dark skin tone
🌎,"americas, world, earth, globe",globe showing Americas
🕵,"sleuth, spy, medium-dark skin tone, detective",detective: medium-dark skin tone
🌍,"europe, world, earth, africa, globe",globe showing Europe-Africa
🕵,"sleuth, spy, detective, medium skin tone",detective: medium skin tone
🌌,space,milky way
🕵,"sleuth, medium-light skin tone, spy, detective",detective: medium-light skin tone
🌋,"mountain, eruption",volcano
🕵,"sleuth, light skin tone, spy, detective",detective: light skin tone
🌊,"water, ocean, wave",water wave
👨,"doctor, nurse, healthcare, therapist, medium skin tone, man",man health worker: medium skin tone
🌉,"night, bridge",bridge at night
🌈,rain,rainbow
🌇,"dusk, sun",sunset
🚵,"bicycle, light skin tone, cyclist, bike, mountain, man",man mountain biking: light skin tone
🌆,"dusk, sun, sunset, landscape, city, evening",cityscape at dusk
🌅,"sun, morning",sunrise
🌄,"sun, mountain, sunrise, morning",sunrise over mountains
🌃,"night, star",night with stars
🌂,"umbrella, rain, clothing",closed umbrella
🌁,fog,foggy
🌀,"typhoon, dizzy, twister",cyclone
🏌,"medium-light skin tone, woman, golf",woman golfing: medium-light skin tone
